Comment,Designator,Footprint,LCSC,Quantity
PT2399,U1,SOP-16_3.9x9.9mm_P1.27mm,C126407,1
47pF,C17,C_0805_2012Metric,C14857,1
100uF,"C2,C6",C_1206_3216Metric,C15008,2
47uF,C3,C_0805_2012Metric,C16780,1
10nF,"C11,C12",C_0805_2012Metric,C1710,2
22nF,C15,C_0805_2012Metric,C1729,1
4.7nF,"C13,C14",C_0805_2012Metric,C1744,2
100pF,C18,C_0805_2012Metric,C1790,1
1k,"R17,R20,R7",R_0603_1608Metric,C21190,3
12k,R18,R_0603_1608Metric,C22790,1
1M,R13,R_0603_1608Metric,C22935,1
220k,R14,R_0603_1608Metric,C22961,1
2k,R11,R_0603_1608Metric,C22975,1
470k,R15,R_0603_1608Metric,C23178,1
5.1k,R12,R_0603_1608Metric,C23186,1
100k,R21,R_0603_1608Metric,C25803,1
10k,"R10,R3,R4,R5,R6,R8,R9,RC1",R_0603_1608Metric,C25804,8
2.2nF,"C7,C9",C_0805_2012Metric,C28260,2
22k,R16,R_0603_1608Metric,C31850,1
20K,"R19,R2",R_0603_1608Metric,C4184,2
2.2k,R1,R_0603_1608Metric,C4190,1
100nF,"C1,C10,C4,C5,C8",C_0805_2012Metric,C49678,5
220nF,C16,C_0805_2012Metric,C5378,1
LP2950-5.0_TO252,U2,TO-252-2,C68189,1
TL072,U3,SOIC-8_5.3x6.2mm_P1.27mm,C6961,1
47uF,"CF1,CF5",CP_Elec_6.3x7.7,C72523,2
1N4148W,D5,D_SOD-123,C81598,1
1uF,"CF2,CF3,CF4,CF6",CP_Elec_4x5.4,C90265,4
Foot Switch,S1,3PDT Foot Switch,,1
OUT,J5,Jack_6.35mm_Neutrik_NMJ6HFD2_Horizontal,,1
IN,J4,Jack_6.35mm_Neutrik_NMJ6HFD2_Horizontal,,1
DC IN,J2,BarrelJack_GCT_DCJ200-10-A_Horizontal,,1
LED,D1,LED_D3.0mm_Clear,,1
50k,TIME1,Potentiometer_RK097_Single_Vertical,,1
50k,REPEATS1,Potentiometer_RK097_Single_Vertical,,1
50k,LEVEL1,Potentiometer_RK097_Single_Vertical,,1
9V Batt -ve,TP2,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,,1
9V Batt +ve,TP1,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,,1
